origin_iata,dest_iata,origin_city,dest_city,origin_country,dest_country,origin_country_code,dest_country_code,origin_lat,origin_lon,dest_lat,dest_lon,distance_nm,bearing_deg,range_limited,annual_pax,quick_score,traffic_source,route_region,overwater_pct,time_saved_hr,bti_origin,bti_dest,supersonic_block_hr,subsonic_block_hr,time_saved_pct,effective_speed_kts,overwater_cruise_hr,boomless_cruise_hr,subsonic_phase_hr,overture_without_boomless_block_hr,boomless_savings_min,region,yield_per_km,business_fare,first_fare,total_score,traffic_score,premium_demand_score,time_savings_score,viability_score,revenue_score,estimated_premium_pax,estimated_supersonic_revenue_M,business_fare_est,first_fare_est,route_type,revenue_per_flight,cost_per_flight,profit_per_flight,annual_revenue_M,annual_cost_M,annual_profit_M,payback_years,breakeven_load_factor,flights_per_day,fuel_cost_per_flight,non_fuel_cost_per_flight,fuel_per_hr,total_fuel_kg,rank,tier,tier_label,why_this_route
HND,ORD,Tokyo,Chicago,Japan,United States,JP,US,35.549678,139.786958,41.9786,-87.9048,5466.4,33.4,True,706521,165844485.16418928,gravity_model,transpacific,0.9,5.74,91.0,76.0,6.39,12.13,0.4732,890.2,5.05,0.83,0.52,6.73,20.1,transpacific,0.195,1974.14,3553.44,84.56,18.66,16.7,23.25,14.3,11.65,105978,62.76,1974.14,3553.44,overwater,113710.0,71876.0,41834.0,41.5,26.23,15.27,13.1,0.506,1.0,22679.0,49198.0,4175.0,26681.0,11,Tier 1,Flagship,"HND-ORD ranks highly because it combines 0.7M annual passengers, strong business demand (BTI 91/76), 90% overwater routing, and 5.7 hours of block-time savings. Estimated annual supersonic revenue potential is $63M."
NRT,ORD,Tokyo,Chicago,Japan,United States,JP,US,35.76858,140.388714,41.9786,-87.9048,5439.2,33.7,True,595710,117938392.57743849,gravity_model,transpacific,0.9,5.71,91.0,76.0,6.36,12.07,0.4731,890.0,5.02,0.82,0.52,6.69,20.0,transpacific,0.195,1964.31,3535.76,84.21,18.42,16.7,23.25,14.3,11.54,89356,52.66,1964.31,3535.76,overwater,113144.0,71490.0,41655.0,41.3,26.09,15.2,13.2,0.505,1.0,22537.0,48953.0,4169.0,26514.0,12,Tier 1,Flagship,"NRT-ORD ranks highly because it combines 0.6M annual passengers, strong business demand (BTI 91/76), 90% overwater routing, and 5.7 hours of block-time savings. Estimated annual supersonic revenue potential is $53M."
HND,SIN,Tokyo,Singapore,Japan,Singapore,JP,SG,35.549678,139.786958,1.35019,103.994003,2861.8,232.3,False,1777090,155561105.81436318,gravity_model,intra_asia,0.951,3.07,91.0,80.0,3.52,6.59,0.4657,875.0,2.79,0.21,0.52,3.61,5.2,intercontinental,0.294,1558.21,2804.78,83.97,19.93,17.1,20.18,14.66,12.1,266564,124.61,1558.21,2804.78,overwater,89753.0,38104.0,51649.0,65.52,27.82,37.7,5.3,0.34,2.0,12348.0,25756.0,4127.0,14527.0,13,Tier 1,Flagship,"HND-SIN ranks highly because it combines 1.8M annual passengers, strong business demand (BTI 91/80), 95% overwater routing, and 3.1 hours of block-time savings. Estimated annual supersonic revenue potential is $125M."
NRT,SIN,Tokyo,Singapore,Japan,Singapore,JP,SG,35.76858,140.388714,1.35019,103.994003,2893.1,232.7,False,1462263,110625485.97350882,gravity_model,intra_asia,0.9448,3.09,91.0,80.0,3.56,6.66,0.4648,873.5,2.8,0.24,0.52,3.66,5.9,intercontinental,0.2928,1569.04,2824.27,83.57,19.66,17.1,20.22,14.61,11.98,219339,103.25,1569.04,2824.27,overwater,90377.0,38506.0,51871.0,65.97,28.11,37.87,5.3,0.341,2.0,12468.0,26038.0,4120.0,14668.0,14,Tier 1,Flagship,"NRT-SIN ranks highly because it combines 1.5M annual passengers, strong business demand (BTI 91/80), 94% overwater routing, and 3.1 hours of block-time savings. Estimated annual supersonic revenue potential is $103M."
ICN,SFO,Seoul,San Francisco,South Korea,United States,KR,US,37.469101,126.450996,37.619806,-122.374821,4905.6,48.3,False,950000,69350000.0,observed,transpacific,0.9634,5.3,69.0,77.0,5.64,10.94,0.4847,910.8,4.85,0.27,0.52,5.75,6.6,transpacific,0.195,1771.61,3188.9,83.33,19.74,13.14,23.52,14.74,12.19,142500,75.74,1771.61,3188.9,overwater,102045.0,64541.0,37504.0,37.25,23.56,13.69,14.6,0.506,1.0,20391.0,44150.0,4253.0,23989.0,15,Tier 1,Flagship,"ICN-SFO ranks highly because it combines 0.9M annual passengers, strong business demand (BTI 69/77), 96% overwater routing, and 5.3 hours of block-time savings. Estimated annual supersonic revenue potential is $76M."
DFW,LHR,Dallas-Fort Worth,London,United States,United Kingdom,US,GB,32.896801,-97.038002,51.470748,-0.459909,4118.4,41.7,False,1100000,86350000.0,observed,transatlantic,0.85,4.22,61.0,96.0,5.04,9.26,0.4555,859.2,3.59,0.94,0.52,5.42,22.7,transatlantic,0.2784,2123.33,3821.99,83.29,19.95,14.13,22.85,13.95,12.41,165000,105.1,2123.33,3821.99,overwater,122304.0,54459.0,67845.0,44.64,19.88,24.76,8.1,0.356,1.0,17394.0,37066.0,4060.0,20463.0,16,Tier 1,Flagship,"DFW-LHR ranks highly because it combines 1.1M annual passengers, strong business demand (BTI 61/96), 85% overwater routing, and 4.2 hours of block-time savings. Estimated annual supersonic revenue potential is $105M."
ICN,LAX,Seoul,Los Angeles,South Korea,United States,KR,US,37.469101,126.450996,33.942501,-118.407997,5197.3,48.8,True,1250000,89375000.0,observed,transpacific,0.9234,5.52,69.0,74.0,6.04,11.56,0.4772,897.3,4.92,0.6,0.52,6.29,14.6,transpacific,0.195,1876.95,3378.52,83.22,20.13,12.87,23.35,14.46,12.41,187500,105.58,1876.95,3378.52,overwater,108112.0,68332.0,39781.0,39.46,24.94,14.52,13.8,0.506,1.0,21556.0,46776.0,4199.0,25360.0,17,Tier 1,Flagship,"ICN-LAX ranks highly because it combines 1.2M annual passengers, strong business demand (BTI 69/74), 92% overwater routing, and 5.5 hours of block-time savings. Estimated annual supersonic revenue potential is $106M."
PEK,SFO,Beijing,San Francisco,China,United States,CN,US,40.077349,116.596702,37.619806,-122.374821,5126.1,42.9,True,636298,116240993.89845219,gravity_model,transpacific,0.9,5.38,77.0,77.0,6.03,11.41,0.4718,887.6,4.73,0.78,0.52,6.34,18.8,transpacific,0.195,1851.24,3332.23,82.97,18.51,15.4,23.22,14.3,11.54,95445,53.01,1851.24,3332.23,overwater,106631.0,67454.0,39178.0,38.92,24.62,14.3,14.0,0.506,1.0,21319.0,46135.0,4159.0,25081.0,18,Tier 1,Flagship,"PEK-SFO ranks highly because it combines 0.6M annual passengers, strong business demand (BTI 77/77), 90% overwater routing, and 5.4 hours of block-time savings. Estimated annual supersonic revenue potential is $53M."
NRT,SEA,Tokyo,Seattle,Japan,United States,JP,US,35.76858,140.388714,47.447943,-122.310276,4133.6,46.0,False,650000,49400000.0,observed,transpacific,0.9663,4.47,91.0,61.0,4.82,9.29,0.481,903.6,4.1,0.21,0.52,4.91,5.1,transpacific,0.2006,1535.67,2764.21,82.9,19.19,13.68,23.43,14.76,11.84,97500,44.92,1535.67,2764.21,overwater,88455.0,54561.0,33893.0,32.29,19.91,12.37,16.2,0.493,1.0,17359.0,37202.0,4237.0,20422.0,19,Tier 1,Flagship,"NRT-SEA ranks highly because it combines 0.7M annual passengers, strong business demand (BTI 91/61), 97% overwater routing, and 4.5 hours of block-time savings. Estimated annual supersonic revenue potential is $45M."
LAX,PEK,Los Angeles,Beijing,United States,China,US,CN,33.942501,-118.407997,40.077349,116.596702,5419.4,321.2,True,661318,135533803.49796507,gravity_model,transpacific,0.9,5.69,74.0,77.0,6.34,12.03,0.473,889.8,5.0,0.82,0.52,6.67,19.9,transpacific,0.195,1957.16,3522.89,82.81,18.56,15.1,23.25,14.3,11.6,99198,58.24,1957.16,3522.89,overwater,112732.0,71235.0,41497.0,41.15,26.0,15.15,13.2,0.506,1.0,22460.0,48775.0,4168.0,26424.0,20,Tier 1,Flagship,"LAX-PEK ranks highly because it combines 0.7M annual passengers, strong business demand (BTI 74/77), 90% overwater routing, and 5.7 hours of block-time savings. Estimated annual supersonic revenue potential is $58M."
